hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev
3554;Számítógép Dell Optiplex 3080 MT W10 Pro;SS01;Számítógép
2994;Számítógép- DELL PC Optiplex 3070 MT;SS01;Számítógép
2741;Monitor - LG 27UK850-W;SS02;Monitor
2708;Monitor - Asus VG279Q;SS02;Monitor
2773;Monitor - LG 27MP59G-P;SS02;Monitor
2789;Monitor - LG IPS gamer;SS02;Monitor
2427;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
1885;"Laptop- DELL Inspiron 5567 15,6"" HD";SS03;Laptop
3604;Apple MAC Mini számítógép;SS01;Számítógép
2513;Laptop- LEN 80WK0099HV 15.6;SS03;Laptop
2508;Ideapad- Lenovo Legion Y520;SS03;Laptop
2506;Laptop- ACER Aspire 5 A515-51G-58G3;SS03;Laptop
2455;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
2555;Laptop- HP ProBook 440 GS;SS03;Laptop
2556;Laptop- HP 250 G6 Notebook;SS03;Laptop
2452;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
2451;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
3229;Számítógép - Dell Optiplex 3070;SS01;Számítógép
2995;Számítógép- DELL PC Optiplex 3070 MT;SS01;Számítógép
2450;Laptop- ACER TravelMate B117-M-P16Q;SS03;Laptop
3925;Szék - CINQUE ALTO I forgó;BU01;Szék
3981;Asztal - körasztal FalproVOG;BA99;Egyéb asztal
1643;SWITCH LINKSYS 8 PORTOS EZXS88W;SH05;Switch
2751;Tároló - DELL PowerVault SCv3020;SE19;Külső tároló eszköz egyéb
2749;Szerver - DELL R440;SS05;Szerver
3982;Asztal - FalproVOG;BA99;Egyéb asztal
3809;Vetítőrendszer - DLP;KK02;Vetítővászon
3550;Dell PV114X mentőegység - szalagos;SE99;Egyéb informatikai eszköz
3770;Televízió - LG 55UN74003LB LED;KV04;Televízió
1746;Szerver - Dell PowerEdge R530;SS05;Szerver
1745;Szerver - Dell PowerEdge R220;SS05;Szerver
3936;Szék - CINQUE ALTO I forgó;BU01;Szék
3966;Asztal - Hoxo sarkos FalproVOG;BA99;Egyéb asztal
1899;Szerver-Dell Power Edge R530+mentőegység;SS05;Szerver
