hiany_id;hiany_eszkoznev;hiany_muszakicsop;hiany_muszakicsopnev;tobblet_id;tobblet_eszkoznev;tobblet_muszakicsop;toblet_muszakicsopnev
3330;Laptop - Lenovo V15-ADA;SS03;Laptop;4868;Laptop;SS03;Laptop
3330;Laptop - Lenovo V15-ADA;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
1429;Laptop Dell Inspiron;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1429;Laptop Dell Inspiron;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
1430;Laptop DELL Inspiron 15;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1430;Laptop DELL Inspiron 15;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
3323;Laptop - ASUS FX506II-AL133T;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3323;Laptop - ASUS FX506II-AL133T;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
3314;Laptop - ASUR ROG Strix G15;SS03;Laptop;4868;Laptop;SS03;Laptop
3314;Laptop - ASUR ROG Strix G15;SS03;Laptop;5460;Laptop Dell;SS03;Laptop
1433;Laptop DELL Inspiron 15;SS03;Laptop;5002;laptop Dell inspiron;SS03;Laptop
1433;Laptop DELL Inspiron 15;SS03;Laptop;4733;Laptop DELL;SS03;Laptop
3311;Laptop - ASUS VivoBook X512JA;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3311;Laptop - ASUS VivoBook X512JA;SS03;Laptop;4871;Laptop Asus Inspiron;SS03;Laptop
48;Switch Aten Masterwie KVM Cs88A;SE99;Egyéb informatikai eszköz;5333;Switch;SH99;Egyéb hálózati eszköz
48;Switch Aten Masterwie KVM Cs88A;SE99;Egyéb informatikai eszköz;4615;Cisco Switch;SH99;Egyéb hálózati eszköz
1646;SWITCH LINKSYS 4 portos wireles wrtg54gl;SH05;Switch;5048;D-LINK Switch 8 portos;SH99;Egyéb hálózati eszköz
1646;SWITCH LINKSYS 4 portos wireles wrtg54gl;SH05;Switch;5333;Switch;SH99;Egyéb hálózati eszköz
3492;Notebook - HP 14-dik1002nh;SS03;Laptop;4869;Notebook;SS03;Laptop
3492;Notebook - HP 14-dik1002nh;SS03;Laptop;5016;Laptop - HP ;SS03;Laptop
3494;Notebook - Asus Vivobook X509JA;SS03;Laptop;4869;Notebook;SS03;Laptop
3494;Notebook - Asus Vivobook X509JA;SS03;Laptop;4653;Laptop Asus;SS03;Laptop
3708;Laptop - HP 250 G8;SS03;Laptop;5016;Laptop - HP ;SS03;Laptop
3708;Laptop - HP 250 G8;SS03;Laptop;5000;laptop hp;SS01;Számítógép
3821;Laptop - HP15;SS03;Laptop;4868;Laptop;SS03;Laptop
